N   s1         s2         diff       
278 0.30595720 0.30595598 0.00000122 
279 0.30596042 0.30595919 0.00000122 
280 0.30596358 0.30596238 0.00000119 
281 0.30596673 0.30596554 0.00000119 
282 0.30596989 0.30596867 0.00000122 
283 0.30597305 0.30597180 0.00000125 
284 0.30597615 0.30597490 0.00000125 
285 0.30597925 0.30597797 0.00000128 
286 0.30598229 0.30598101 0.00000128 
287 0.30598533 0.30598405 0.00000128 
288 0.30598831 0.30598706 0.00000125 
289 0.30599129 0.30599004 0.00000125 
290 0.30599427 0.30599302 0.00000125 
291 0.30599725 0.30599597 0.00000128 
292 0.30600017 0.30599889 0.00000128 
293 0.30600309 0.30600181 0.00000128 
294 0.30600601 0.30600470 0.00000131 
295 0.30600888 0.30600756 0.00000131 
296 0.30601174 0.30601043 0.00000131 
297 0.30601454 0.30601326 0.00000128 
298 0.30601734 0.30601606 0.00000128 
299 0.30602014 0.30601886 0.00000128 
300 0.30602288 0.30602163 0.00000125 
301 0.30602562 0.30602437 0.00000125 
302 0.30602837 0.30602711 0.00000125 
303 0.30603105 0.30602983 0.00000122 
304 0.30603373 0.30603254 0.00000119 
305 0.30603641 0.30603522 0.00000119 
306 0.30603909 0.30603787 0.00000122 
307 0.30604172 0.30604053 0.00000119 
308 0.30604434 0.30604315 0.00000119 
309 0.30604696 0.30604577 0.00000119 
310 0.30604959 0.30604836 0.00000122 
311 0.30605215 0.30605096 0.00000119 
312 0.30605471 0.30605352 0.00000119 
313 0.30605727 0.30605605 0.00000122 
314 0.30605978 0.30605859 0.00000119 
315 0.30606234 0.30606109 0.00000125 
316 0.30606484 0.30606359 0.00000125 
317 0.30606729 0.30606607 0.00000122 
318 0.30606973 0.30606854 0.00000119 
319 0.30607224 0.30607098 0.00000125 
320 0.30607462 0.30607343 0.00000119 
321 0.30607706 0.30607584 0.00000122 
322 0.30607951 0.30607826 0.00000125 
323 0.30608189 0.30608064 0.00000125 
324 0.30608428 0.30608302 0.00000125 
325 0.30608666 0.30608538 0.00000128 
326 0.30608898 0.30608773 0.00000125 
327 0.30609131 0.30609006 0.00000125 
328 0.30609363 0.30609238 0.00000125 
329 0.30609590 0.30609468 0.00000122 
330 0.30609816 0.30609697 0.00000119 
331 0.30610043 0.30609924 0.00000119 
332 0.30610269 0.30610150 0.00000119 
333 0.30610496 0.30610377 0.00000119 
334 0.30610722 0.30610600 0.00000122 
335 0.30610949 0.30610824 0.00000125 
336 0.30611169 0.30611044 0.00000125 
337 0.30611390 0.30611265 0.00000125 
338 0.30611604 0.30611482 0.00000122 
339 0.30611819 0.30611700 0.00000119 
340 0.30612034 0.30611914 0.00000119 
341 0.30612248 0.30612129 0.00000119 
342 0.30612463 0.30612344 0.00000119 
343 0.30612677 0.30612555 0.00000122 
344 0.30612886 0.30612767 0.00000119 
345 0.30613095 0.30612975 0.00000119 
346 0.30613303 0.30613184 0.00000119 
347 0.30613512 0.30613393 0.00000119 
348 0.30613714 0.30613598 0.00000116 
349 0.30613917 0.30613804 0.00000113 
350 0.30614120 0.30614007 0.00000113 
351 0.30614322 0.30614209 0.00000113 
352 0.30614525 0.30614412 0.00000113 
353 0.30614728 0.30614612 0.00000116 
354 0.30614930 0.30614811 0.00000119 
355 0.30615127 0.30615008 0.00000119 
356 0.30615330 0.30615205 0.00000125 
357 0.30615526 0.30615401 0.00000125 
358 0.30615723 0.30615595 0.00000128 
359 0.30615920 0.30615789 0.00000131 
360 0.30616117 0.30615982 0.00000134 
361 0.30616307 0.30616173 0.00000134 
362 0.30616498 0.30616364 0.00000134 
363 0.30616689 0.30616555 0.00000134 
364 0.30616879 0.30616742 0.00000137 
365 0.30617064 0.30616930 0.00000134 
366 0.30617255 0.30617118 0.00000137 
367 0.30617440 0.30617303 0.00000137 
368 0.30617625 0.30617487 0.00000137 
369 0.30617803 0.30617672 0.00000131 
370 0.30617988 0.30617854 0.00000134 
371 0.30618173 0.30618036 0.00000137 
372 0.30618352 0.30618218 0.00000134 
373 0.30618536 0.30618396 0.00000140 
374 0.30618715 0.30618575 0.00000140 
375 0.30618894 0.30618754 0.00000140 
